ID,P(Late),Top_Pos_Features,Top_Neg_Features
19431,0.0015526648292330477,"T_pred_dayofweek, country_hist_delay_rate, site_hist_delay_rate","Vendor, country_hist_volume, Line Item Insurance (USD)"
63894,0.003765459222345773,"Forecast_Horizon_Days, country_hist_delay_rate, Sub Classification","Vendor, country_hist_volume, PQ_to_PO_Days"
