shipment_id,p_late,severity_p50,line_item_value,risk_tier,action,simulated_net_benefit,robustness,human_approval_required
962,0.33229485591894076,0.0,11.196363692967797,WATCH,MONITOR,-10.0,ROBUST,False
979,0.2552532324008997,0.0,9.915995007199239,LOW_RISK,NO_ACTION,0.0,ROBUST,False
985,0.16830411338015427,0.0,9.977546237760983,LOW_RISK,NO_ACTION,0.0,ROBUST,False
986,0.19073484093019807,0.0,9.977078105137151,LOW_RISK,NO_ACTION,0.0,ROBUST,False
993,0.3302004073876236,0.0,12.131367956915053,WATCH,MONITOR,-10.0,ROBUST,False
1037,0.269375521959917,0.0,8.462737005620179,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1046,0.30597100354426887,0.0,6.634633357861686,WATCH,MONITOR,-10.0,ROBUST,False
1047,0.16827097412089348,0.0,6.00111780413612,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1048,0.3651625009378263,0.0,6.160954125086558,WATCH,MONITOR,-10.0,ROBUST,False
1077,0.4410154963423868,0.0,7.578605724543472,WATCH,MONITOR,-10.0,ROBUST,False
1078,0.20317580271476024,0.0,9.719744986586726,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1079,0.29660569033273065,0.0,7.566983666338456,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1080,0.4902109316083607,0.0,9.274816391160547,WATCH,MONITOR,-10.0,ROBUST,False
1084,0.23329669622029106,0.0,11.8084737673517,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1085,0.3380185379695045,0.0,11.297762484021957,WATCH,MONITOR,-10.0,ROBUST,False
1086,0.13607828008009776,0.0,10.463588936836263,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1095,0.3424060009917773,0.0,8.853808274977197,WATCH,MONITOR,-10.0,ROBUST,False
1109,0.13585270932184718,0.0,12.950067396157342,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1110,0.48369417412952886,0.0,9.638544967053836,WATCH,MONITOR,-10.0,ROBUST,False
1111,0.38626506082892453,0.0,6.985641817639208,WATCH,MONITOR,-10.0,ROBUST,False
1114,0.41526391525428263,0.0,7.943427767876373,WATCH,MONITOR,-10.0,ROBUST,False
1115,0.3816417443086547,0.0,9.89197149657488,WATCH,MONITOR,-10.0,ROBUST,False
1122,0.33589161443058635,0.0,9.952325334619427,WATCH,MONITOR,-10.0,ROBUST,False
1134,0.2799651124342022,0.0,13.304686600863562,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1140,0.44334935190442504,0.0,13.145300303336986,WATCH,MONITOR,-10.0,ROBUST,False
1156,0.4827342670172252,0.0,12.864591838209744,WATCH,MONITOR,-10.0,ROBUST,False
1162,0.29961446916163254,0.0,11.608244735642321,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1179,0.4726140196621048,0.0,6.421231947739111,WATCH,MONITOR,-10.0,ROBUST,False
1183,0.333333163995407,0.0,10.571983369654944,WATCH,MONITOR,-10.0,ROBUST,False
1196,0.6932946965146987,29.35113386375251,7.467942332285852,HIGH_RISK,HUMAN_REVIEW,-50.0,ROBUST,True
1198,0.2817930931821427,0.0,8.522379718103538,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1213,0.18371510461204796,0.0,7.937731775260109,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1215,0.10148786432722368,0.0,8.859505484519133,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1221,0.19660249074242453,0.0,6.19644412779452,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1222,0.30388926864142607,0.0,10.628641991731053,WATCH,MONITOR,-10.0,ROBUST,False
1223,0.25198398090390106,0.0,7.951277601332286,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1245,0.2793940912010535,0.0,9.312666789409656,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1282,0.4922592878256199,0.0,12.528522019787818,WATCH,MONITOR,-10.0,ROBUST,False
1283,0.24010894826773105,0.0,11.87899811184392,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1295,0.28087317574404314,0.0,8.098338846189057,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1298,0.15340622054112785,0.0,13.171155446333852,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1299,0.11918309297479507,0.0,13.899825419287817,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1300,0.41016380583699785,0.0,12.217712142997206,WATCH,MONITOR,-10.0,ROBUST,False
1303,0.3282732700287915,0.0,9.680406499268875,WATCH,MONITOR,-10.0,ROBUST,False
1306,0.404281922417558,0.0,12.141539457711714,WATCH,MONITOR,-10.0,ROBUST,False
1309,0.15994511955462065,0.0,12.826651821423713,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1337,0.3287315084730764,0.0,9.61463813233234,WATCH,MONITOR,-10.0,ROBUST,False
1350,0.20145698973655024,0.0,10.610685556318733,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1356,0.19122472676000798,0.0,7.560601162768557,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1357,0.10461040562119411,0.0,7.650168700845001,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1358,0.15213628942762877,0.0,7.650168700845001,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1359,0.22370724459987815,0.0,10.609081944147828,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1360,0.14675150423637562,0.0,12.533309509940082,LOW_RISK,NO_ACTION,0.0,ROBUST,False
1361,0.49434337616437507,0.0,10.623666072147104,WATCH,MONITOR,-10.0,ROBUST,False
