fold_id,target,nominal_level,nominal_coverage,observed_coverage,coverage_error,mean_width,median_width,lower_violations,upper_violations,obs_coverage_rdc,obs_coverage_direct,q_adjustment
0,Delay_Days_Signed,80,0.8,0.9080267558528428,0.10802675585284272,47.568700241783894,55.35640687301851,0.05351170568561873,0.038461538461538464,0.9101796407185628,0.9053030303030303,-0.020615100829280447
0,Delay_Days_Signed,90,0.9,0.9565217391304348,0.05652173913043479,71.04468202304363,80.84787229023411,0.03177257525083612,0.011705685618729096,0.9431137724550899,0.9734848484848485,2.230138081388681
0,Delay_Days_Signed,95,0.95,0.9832775919732442,0.0332775919732442,114.08327448642704,122.83024492128479,0.015050167224080268,0.0016722408026755853,0.9730538922155688,0.9962121212121212,19.64632557115909
0,Delay_Days_Positive_Only,80,0.8,0.8896321070234113,0.08963210702341129,25.71826601550801,26.987750903468473,0.07692307692307693,0.033444816053511704,0.8622754491017964,0.9242424242424242,0.0
0,Delay_Days_Positive_Only,90,0.9,0.9849498327759197,0.08494983277591972,39.50582785934272,45.480037824478806,0.0,0.015050167224080268,1.0,0.9659090909090909,0.9948462247926799
0,Delay_Days_Positive_Only,95,0.95,0.9916387959866221,0.041638795986622124,43.72020244805333,48.112547757151226,0.0,0.008361204013377926,1.0,0.9810606060606061,0.547165431789374
1,Delay_Days_Signed,80,0.8,0.7880258899676376,-0.011974110032362484,31.250197822216794,28.30472491958197,0.156957928802589,0.05501618122977346,0.6965699208443272,0.9330543933054394,0.5479485613461383
1,Delay_Days_Signed,90,0.9,0.9288025889967637,0.02880258899676369,76.32226818199791,78.94157319676677,0.04854368932038835,0.022653721682847898,0.8970976253298153,0.9790794979079498,14.849094218029158
1,Delay_Days_Signed,95,0.95,0.9644012944983819,0.0144012944983819,142.6938179134053,144.67450722193985,0.021035598705501618,0.014563106796116505,0.941952506596306,1.0,42.31080102460742
1,Delay_Days_Positive_Only,80,0.8,0.8381877022653722,0.03818770226537216,14.294302378212643,12.228426095509773,0.08576051779935275,0.07605177993527508,0.8496042216358839,0.8200836820083682,0.0
1,Delay_Days_Positive_Only,90,0.9,0.9110032362459547,0.011003236245954673,24.837409997049004,23.79613094672488,0.05339805825242718,0.03559870550161812,0.8918205804749341,0.9414225941422594,0.28098002327064103
1,Delay_Days_Positive_Only,95,0.95,0.9724919093851133,0.022491909385113362,34.06924371362239,31.984563332355666,0.0,0.02750809061488673,0.9762532981530343,0.9665271966527197,0.0
2,Delay_Days_Signed,80,0.8,0.7533875338753387,-0.0466124661246613,33.757327426311655,29.579469260201346,0.05420054200542006,0.19241192411924118,0.6375,0.8905325443786982,-0.03607642645124077
2,Delay_Days_Signed,90,0.9,0.8604336043360433,-0.0395663956639567,49.11712199262137,54.85921018530016,0.03523035230352303,0.1043360433604336,0.805,0.9260355029585798,-0.06678771571066386
2,Delay_Days_Signed,95,0.95,0.9471544715447154,-0.0028455284552845184,92.40305753419105,100.60245209002787,0.009485094850948509,0.04336043360433604,0.905,0.9970414201183432,16.98657583904012
2,Delay_Days_Positive_Only,80,0.8,0.8197831978319783,0.01978319783197824,8.142306062825522,7.897561496831251,0.02710027100271003,0.15311653116531165,0.74,0.9142011834319527,0.0
2,Delay_Days_Positive_Only,90,0.9,0.8346883468834688,-0.0653116531165312,13.95328149634345,13.755201103482369,0.02710027100271003,0.13821138211382114,0.855,0.8106508875739645,0.0
2,Delay_Days_Positive_Only,95,0.95,0.9322493224932249,-0.01775067750677506,20.17788119191389,19.770059477270635,0.0,0.06775067750677506,0.88,0.9940828402366864,0.0
3,Delay_Days_Signed,80,0.8,0.7475247524752475,-0.05247524752475252,36.5955054323386,41.79493318211825,0.06435643564356436,0.18811881188118812,0.5811209439528023,0.9588014981273408,0.08806009156884681
3,Delay_Days_Signed,90,0.9,0.8646864686468647,-0.03531353135313531,60.757204941976816,64.82647668955818,0.0297029702970297,0.10561056105610561,0.7728613569321534,0.9812734082397003,-0.15749429114678187
