fold_id,model,task,target,opt_threshold,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,brier_score,inf_time,mae,rmse,r2,median_ae
0,LogisticRegression,classification,Delay_Flag,0.15000000000000002,0.0700828081534206,0.53199394523187,0.1268882175226586,0.07191780821917808,0.5384615384615384,0.5268336314847943,0.06794853543500147,0.130934476852417,,,,
0,LightGBM,classification,Delay_Flag,0.25000000000000006,0.09374232708887095,0.6353378285399752,0.08080808080808081,0.06666666666666667,0.10256410256410256,0.5011926058437687,0.07021287412427012,0.09921073913574219,,,,
0,Ridge,regression,Delay_Days_Signed,,,,,,,,,0.00910329818725586,15.35598702951315,19.67272302010116,-0.6624715916809287,11.354368388628028
0,LightGBM,regression,Delay_Days_Signed,,,,,,,,,0.006639003753662109,11.53630484203116,17.84378287355937,-0.3677261111281369,4.638280545928657
0,Ridge,regression,Delay_Days_Positive_Only,,,,,,,,,0.009886026382446289,4.444672874223559,5.741519501534711,-2.9500850525452487,4.0617852817543705
0,LightGBM,regression,Delay_Days_Positive_Only,,,,,,,,,0.00926971435546875,2.7590816458348892,4.596078018068516,-1.5312062997722844,1.485792606403653
1,LogisticRegression,classification,Delay_Flag,0.15000000000000002,0.20290073083543,0.6020026858177147,0.3228511530398323,0.2037037037037037,0.7777777777777778,0.5989081567116249,0.13290866573511256,0.13631010055541992,,,,
1,LightGBM,classification,Delay_Flag,0.3500000000000001,0.20761558768864843,0.6587551818765691,0.0,0.0,0.0,0.5,0.12940878370077083,0.07222151756286621,,,,
1,Ridge,regression,Delay_Days_Signed,,,,,,,,,0.010349035263061523,19.224245386195868,29.60545049529274,-0.15920471814757264,13.410455658503402
1,LightGBM,regression,Delay_Days_Signed,,,,,,,,,0.007701396942138672,15.276302401352767,29.58931378965005,-0.15794139351378056,6.374187568211753
1,Ridge,regression,Delay_Days_Positive_Only,,,,,,,,,0.01340341567993164,5.618174187507719,18.47619085975956,0.010112966146659685,2.3835554256005858
1,LightGBM,regression,Delay_Days_Positive_Only,,,,,,,,,0.011259078979492188,5.910847686442858,18.355483250352815,0.023004864245047996,2.507060264841432
2,LogisticRegression,classification,Delay_Flag,0.15000000000000002,0.3983976605055564,0.7332955564999765,0.5747899159663865,0.4275,0.8769230769230769,0.7275959767672475,0.18785119354049198,0.14293932914733887,,,,
2,LightGBM,classification,Delay_Flag,0.25000000000000006,0.3817035872201515,0.7135004958209378,0.13333333333333333,0.35555555555555557,0.08205128205128205,0.5143221419464513,0.19071637645178954,0.06853032112121582,,,,
2,Ridge,regression,Delay_Days_Signed,,,,,,,,,0.01426553726196289,19.38426179922314,32.707811638459624,-0.09617478134403723,11.41497566023099
2,LightGBM,regression,Delay_Days_Signed,,,,,,,,,0.012217521667480469,23.92137503737933,36.37669933751326,-0.3558867335595177,15.74447804688872
2,Ridge,regression,Delay_Days_Positive_Only,,,,,,,,,0.014868974685668945,9.534640710043858,24.433714034526673,0.07382843943768636,3.1967784327925726
2,LightGBM,regression,Delay_Days_Positive_Only,,,,,,,,,0.012851476669311523,17.60477942945439,26.104291440715816,-0.05714920312829386,10.736020675191856
3,LogisticRegression,classification,Delay_Flag,0.20000000000000004,0.2790586332896721,0.6458209082389026,0.0,0.0,0.0,0.5,0.16483006366780475,0.1535017490386963,,,,
3,LightGBM,classification,Delay_Flag,0.25000000000000006,0.2957331895192313,0.6797392860185738,0.06578947368421052,0.16129032258064516,0.04132231404958678,0.49385703331345315,0.15309556708874927,0.07851815223693848,,,,
3,Ridge,regression,Delay_Days_Signed,,,,,,,,,0.01327824592590332,20.545501420935906,29.520970593040918,-0.3725444253710295,13.061148574399095
3,LightGBM,regression,Delay_Days_Signed,,,,,,,,,0.011216402053833008,14.479933067003104,25.475030677720294,-0.022102798197080498,5.243438237762818
3,Ridge,regression,Delay_Days_Positive_Only,,,,,,,,,0.013236761093139648,9.070064389403337,14.44282548852556,-0.258109962951669,5.958164538549733
3,LightGBM,regression,Delay_Days_Positive_Only,,,,,,,,,0.011127948760986328,9.947278565038237,23.95161463136334,-2.460061873855838,3.7298710006600864
4,LogisticRegression,classification,Delay_Flag,0.25000000000000006,0.27843692145492566,0.7501739350431674,0.33935018050541516,0.27011494252873564,0.4563106796116505,0.6247351443660858,0.11321968479580208,0.16398334503173828,,,,
4,LightGBM,classification,Delay_Flag,0.30000000000000004,0.317476346057608,0.7240362417380855,0.17094017094017094,0.7142857142857143,0.0970873786407767,0.5452863603301603,0.11405705407120172,0.1088254451751709,,,,
4,Ridge,regression,Delay_Days_Signed,,,,,,,,,0.010625600814819336,14.870819083363582,23.83984251307652,-0.10275705185430173,8.882196406824232
4,LightGBM,regression,Delay_Days_Signed,,,,,,,,,0.0075054168701171875,11.44337515035189,21.481561868210154,0.10462536191128924,3.527346092407182
4,Ridge,regression,Delay_Days_Positive_Only,,,,,,,,,0.012897729873657227,6.699894067177176,9.961041488645293,-0.49830379511046163,4.375398409449341
4,LightGBM,regression,Delay_Days_Positive_Only,,,,,,,,,0.011452913284301758,8.061037664277743,23.383687023892406,-7.256887376015261,1.7302527654628839
