fold_id,model,task,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,brier_score,inf_time,mae,rmse,r2
0,Dummy,classification,0.06521739130434782,0.5,0.0,0.0,0.0,0.5,0.06677495874391039,0.0004076957702636719,,,
0,LogisticRegression,classification,0.09458703244359527,0.6113022338424843,0.12861736334405144,0.07352941176470588,0.5128205128205128,0.5310077519379846,0.25717075561702757,0.026246070861816406,,,
0,LightGBM,classification,0.13065492140774762,0.7088436310260997,0.10714285714285714,0.17647058823529413,0.07692307692307693,0.5259391771019678,0.06852775443913253,0.01697373390197754,,,
0,Dummy,regression,,,,,,,,8.177757263183594e-05,10.245939895729293,15.295039016377324,-0.0049083534209997115
0,Ridge,regression,,,,,,,,0.013872623443603516,15.35598702951315,19.67272302010116,-0.6624715916809287
0,LightGBM,regression,,,,,,,,0.007688999176025391,12.178867434554821,18.5998430886953,-0.48608564446514735
1,Dummy,classification,0.16019417475728157,0.5,0.0,0.0,0.0,0.5,0.13537836663732072,0.0003337860107421875,,,
1,LogisticRegression,classification,0.22001257529029483,0.6666472042194587,0.22857142857142856,0.21621621621621623,0.24242424242424243,0.5373970923103871,0.16837351033799117,0.03047347068786621,,,
1,LightGBM,classification,0.21542582714378655,0.6437593663027189,0.03333333333333333,0.09523809523809523,0.020202020202020204,0.4917965785017808,0.15042470176872258,0.016665220260620117,,,
1,Dummy,regression,,,,,,,,6.818771362304688e-05,15.037738148434011,27.553387206285358,-0.004076454229768212
1,Ridge,regression,,,,,,,,0.01386404037475586,19.224245386195868,29.60545049529274,-0.15920471814757264
1,LightGBM,regression,,,,,,,,0.008145570755004883,15.509986556447124,29.5880642104265,-0.15784359408760706
2,Dummy,classification,0.26422764227642276,0.5,0.0,0.0,0.0,0.5,0.21239913378532035,0.00037169456481933594,,,
2,LogisticRegression,classification,0.4913469475315288,0.7502479104689049,0.47540983606557374,0.5087719298245614,0.4461538461538462,0.6457288567785805,0.17238380524853827,0.03259158134460449,,,
2,LightGBM,classification,0.4488401085001474,0.7641308967275818,0.4989517819706499,0.4219858156028369,0.6102564102564103,0.6550361240968976,0.2117083618251663,0.014528036117553711,,,
2,Dummy,regression,,,,,,,,6.580352783203125e-05,16.866423411300076,32.17534517600178,-0.06077496074981159
2,Ridge,regression,,,,,,,,0.011989355087280273,19.38426179922314,32.707811638459624,-0.09617478134403723
2,LightGBM,regression,,,,,,,,0.006593227386474609,24.398804916928558,36.83917190637639,-0.39058182553791787
3,Dummy,classification,0.19966996699669967,0.5,0.0,0.0,0.0,0.5,0.16342557660712403,0.00033473968505859375,,,
3,LogisticRegression,classification,0.30837471497417424,0.720047712362614,0.46080760095011875,0.3233333333333333,0.8016528925619835,0.6915480957655278,0.22493413216883873,0.01937246322631836,,,
3,LightGBM,classification,0.3604755164308252,0.7570929539064497,0.3605150214592275,0.375,0.34710743801652894,0.6013887705546562,0.15751759426390896,0.008978128433227539,,,
3,Dummy,regression,,,,,,,,5.793571472167969e-05,14.839842872780329,25.324246001274375,-0.010039116135801995
3,Ridge,regression,,,,,,,,0.009474515914916992,20.545501420935906,29.520970593040918,-0.3725444253710295
3,LightGBM,regression,,,,,,,,0.0059473514556884766,14.789288640780754,25.716334981865582,-0.04155760534234143
4,Dummy,classification,0.14365411436541142,0.5,0.0,0.0,0.0,0.5,0.1230861468636312,0.00029754638671875,,,
4,LogisticRegression,classification,0.3910443389740238,0.8179058220802631,0.4461538461538462,0.30313588850174217,0.8446601941747572,0.759463647575978,0.17760017721630822,0.029175519943237305,,,
4,LightGBM,classification,0.31221201486308453,0.7991050251415199,0.17582417582417584,0.20253164556962025,0.1553398058252427,0.5263669713165301,0.11897153264296909,0.01627802848815918,,,
4,Dummy,regression,,,,,,,,7.295608520507812e-05,13.326886159589758,22.703522860243044,-0.0001372008778814937
4,Ridge,regression,,,,,,,,0.014851093292236328,14.870819083363582,23.83984251307652,-0.10275705185430173
4,LightGBM,regression,,,,,,,,0.006266117095947266,11.711828051720222,21.320442219121286,0.11800627318310464
