fold_id,model,task,target,opt_threshold,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,brier_score,inf_time,mae,rmse,r2,median_ae
0,CatBoost,classification,Delay_Flag,0.15000000000000002,0.08843483870164034,0.6167836337782671,0.14285714285714285,0.1095890410958904,0.20512820512820512,0.5444245676803816,0.06261274711213174,10.684886455535889,,,,
0,CatBoost,regression,Delay_Days_Signed,,,,,,,,,6.06974196434021,13.508162858916037,18.899648717599913,-0.5343793403306756,7.888479070014048
0,CatBoost,regression,Delay_Days_Positive_Only,,,,,,,,,6.34732723236084,3.41968236268697,5.640234143177226,-2.811948501485402,1.8877200558277747
1,CatBoost,classification,Delay_Flag,0.1,0.27429337176855334,0.6825869484829022,0.3104693140794224,0.24157303370786518,0.43434343434343436,0.5871139137035091,0.1412558200904053,13.420817613601685,,,,
1,CatBoost,regression,Delay_Days_Signed,,,,,,,,,7.0086400508880615,15.58216182942882,28.29458101953546,-0.05882290332537976,7.960636085725311
1,CatBoost,regression,Delay_Days_Positive_Only,,,,,,,,,7.023747444152832,5.723988195533367,18.000352691873097,0.06044375174797367,1.9142928433099589
2,CatBoost,classification,Delay_Flag,0.15000000000000002,0.403315217507194,0.7387543089200548,0.5457570715474209,0.4039408866995074,0.841025641025641,0.697676724748548,0.2367071292902776,13.700752019882202,,,,
2,CatBoost,regression,Delay_Days_Signed,,,,,,,,,6.144688606262207,18.404683676990032,29.629667864377915,0.10043945909166929,8.977679329443522
2,CatBoost,regression,Delay_Days_Positive_Only,,,,,,,,,6.229724645614624,16.94294884774898,28.48454531770368,-0.25872555866842206,9.30994552531364
3,CatBoost,classification,Delay_Flag,0.15000000000000002,0.32389947790319773,0.7383317713214621,0.47368421052631576,0.3136729222520107,0.9669421487603306,0.7195535486069694,0.13947668079241982,14.054778099060059,,,,
3,CatBoost,regression,Delay_Days_Signed,,,,,,,,,6.828811168670654,16.24011221643227,27.064899554574268,-0.15366039920065244,7.263248164195478
3,CatBoost,regression,Delay_Days_Positive_Only,,,,,,,,,5.99206280708313,7.285180670532419,13.588949649359911,-0.11374573256552178,3.2669360079993925
4,CatBoost,classification,Delay_Flag,0.25000000000000006,0.34438913735950405,0.8033822459757756,0.4716981132075472,0.3488372093023256,0.7281553398058253,0.7500711552449322,0.10476816725310864,14.042307376861572,,,,
4,CatBoost,regression,Delay_Days_Signed,,,,,,,,,6.318497657775879,12.841730802009144,22.41042195377731,0.025519513825725926,5.1028839021907855
4,CatBoost,regression,Delay_Days_Positive_Only,,,,,,,,,6.793364763259888,5.150181694649843,9.804404934719415,-0.45155287859674176,2.0002187843449484
