evaluation_split,strategy,samples,empirical_coverage,coverage_error,mean_interval_width,median_interval_width,recalibration_events,recalibration_frequency_per_year,mean_days_between_recalibrations,total_overhead_latency_ms,mean_latency_per_event_ms
Final_Holdout_365D,STATIC,1013,0.8035538005923001,0.09644619940769994,3.20139064604132,2.866925920261054,0,0.0,364.0,0.0,0.0
Final_Holdout_365D,ROLLING,1013,0.8647581441263573,0.0352418558736427,33.229031317314764,18.94318638505029,3,3.008241758241758,121.33333333333333,0.3956994041800499,0.13189980139334997
Final_Holdout_365D,DRIFT_TRIGGERED,1013,0.9387956564659428,-0.03879565646594274,49.92597110013806,58.87738498819096,4,4.010989010989011,91.0,0.5379999056458473,0.13449997641146183
