fold_id,strategy,eval_start,eval_end,samples,nominal_coverage,empirical_coverage,coverage_error,mean_interval_width,median_interval_width,recalibration_count,recalibration_freq_per_year,mean_days_between_recalib,total_latency_ms
0,STATIC,2012-03-08,2012-08-31,598,0.9,0.9331103678929766,-0.03311036789297661,71.31229898161592,70.82252605392853,0,0.0,176.0,0.0
0,ROLLING,2012-03-08,2012-08-31,598,0.9,0.9297658862876255,-0.029765886287625443,68.37805143904183,67.63867466716322,1,2.0738636363636362,176.0,0.09770039469003677
0,DRIFT_TRIGGERED,2012-03-08,2012-08-31,598,0.9,0.9364548494983278,-0.03645484949832778,76.25737631176885,67.34830646963432,3,6.221590909090908,58.666666666666664,0.32640062272548676
1,STATIC,2012-09-05,2013-03-01,618,0.9,0.9110032362459547,-0.011003236245954673,74.29646772726096,73.67649351897364,0,0.0,177.0,0.0
1,ROLLING,2012-09-05,2013-03-01,618,0.9,0.8980582524271845,0.001941747572815511,72.33530267871727,72.79702201601938,1,2.062146892655367,177.0,0.1001991331577301
1,DRIFT_TRIGGERED,2012-09-05,2013-03-01,618,0.9,0.8915857605177994,0.008414239482200658,70.19938034862018,69.97977255428177,3,6.186440677966102,59.0,0.3481004387140274
2,STATIC,2013-03-04,2013-08-27,738,0.9,0.8861788617886179,0.013821138211382089,72.45689171716971,71.70602691333838,0,0.0,176.0,0.0
2,ROLLING,2013-03-04,2013-08-27,738,0.9,0.8861788617886179,0.013821138211382089,73.45689171716971,73.00042394448585,1,2.0738636363636362,176.0,0.10479986667633057
2,DRIFT_TRIGGERED,2013-03-04,2013-08-27,738,0.9,0.8997289972899729,0.00027100271002711285,98.24008954914802,76.32433897708148,3,6.221590909090908,58.666666666666664,0.3479989245533943
3,STATIC,2013-08-30,2014-02-19,606,0.9,0.8960396039603961,0.003960396039603964,73.72843482738742,73.25768280402833,0,0.0,173.0,0.0
3,ROLLING,2013-08-30,2014-02-19,606,0.9,0.9108910891089109,-0.0108910891089109,83.78454043794846,75.27252251577056,1,2.1098265895953756,173.0,0.11579971760511398
3,DRIFT_TRIGGERED,2013-08-30,2014-02-19,606,0.9,0.900990099009901,-0.000990099009900991,83.4149034742521,85.57932156505882,3,6.329479768786127,57.666666666666664,0.3347005695104599
4,STATIC,2014-02-26,2014-08-21,717,0.9,0.9093444909344491,-0.009344490934449112,71.13727014990738,70.90047880671534,0,0.0,176.0,0.0
4,ROLLING,2014-02-26,2014-08-21,717,0.9,0.8926080892608089,0.007391910739191099,63.25364559642549,70.57137919109691,1,2.0738636363636362,176.0,0.09940005838871002
4,DRIFT_TRIGGERED,2014-02-26,2014-08-21,717,0.9,0.8828451882845189,0.017154811715481166,65.57922695054806,70.58250500357315,3,6.221590909090908,58.666666666666664,0.4028007388114929
