fold_id,feature_name,feature_type,tier,psi,normalized_wasserstein,ks_pvalue,ks_fdr_rejected,js_distance,chi2_pvalue,status
0,Unit Price,numerical,TIER_2,0.37643991558017176,0.09104509783704982,2.0865394766018463e-07,True,,,RED
0,vendor_hist_volume,numerical,TIER_1,4.19561757392441,1.8378430554543297,2.192796985921599e-150,True,,,RED
0,country_hist_delay_rate,numerical,TIER_1,1.9055909232771926,0.6917631254213079,1.8800751480630852e-65,True,,,RED
0,T_pred_quarter,numerical,TIER_3,0.7325179486346772,0.5891435222693261,2.003454774102699e-37,True,,,RED
0,vendor_hist_delay_median,numerical,TIER_3,4.037132055337807,0.3466401929571585,1.6659739209243069e-40,True,,,RED
0,weight_is_numeric,numerical,TIER_3,0.0,0.07568211364746578,0.5303379306611952,False,,,GREEN
0,freight_is_numeric,numerical,TIER_3,0.0,0.13426561436576925,0.02739643139229889,True,,,GREEN
0,vendor_hist_delay_rate,numerical,TIER_1,3.8632444727918953,0.5345136725690055,4.492246531837134e-72,True,,,RED
0,is_rdc_fulfillment,numerical,TIER_2,0.0,0.24466515989140966,4.425612340209468e-07,True,,,YELLOW
0,po_sent_is_date,numerical,TIER_3,0.0,0.24466515989140947,4.425612340209468e-07,True,,,YELLOW
0,Forecast_Horizon_Days,numerical,TIER_1,0.06330933248165124,0.095706092175496,0.01989764093537819,True,,,GREEN
0,PQ_to_PO_Days,numerical,TIER_2,0.13705707894539634,0.2804227228560657,1.0952622598806317e-15,True,,,YELLOW
0,T_pred_year,numerical,TIER_3,5.965741117472703,2.0805947081331717,0.0,True,,,RED
0,T_pred_month,numerical,TIER_2,7.630948464521646,0.5637002447244767,8.097390184020786e-73,True,,,RED
0,Unit of Measure (Per Pack),numerical,TIER_2,0.012228326435260535,0.06217613328896111,0.7077660469106323,False,,,GREEN
0,pq_first_sent_is_date,numerical,TIER_3,0.0,0.4993482355966059,1.7828067678539915e-18,True,,,RED
0,site_hist_delay_rate,numerical,TIER_2,2.6870949966179922,0.8656450305053967,5.639343271995165e-118,True,,,RED
0,country_hist_delay_median,numerical,TIER_2,0.027015764636933278,0.5968493350066558,1.0994559134164717e-25,True,,,RED
0,Line Item Value,numerical,TIER_2,0.06380545131568521,0.24862567143561035,2.335987269739986e-06,True,,,YELLOW
0,Pack Price,numerical,TIER_2,0.10950486762703676,0.14588612974476262,4.4671790108823143e-07,True,,,YELLOW
0,is_pre_pq_process,numerical,TIER_3,0.0,0.49934823559660607,1.7828067678539915e-18,True,,,RED
0,Line Item Insurance (USD),numerical,TIER_1,0.056176473432507264,0.12943971649625222,0.006485600692521098,True,,,GREEN
0,Scheduled_Transit_Days,numerical,TIER_1,0.06330933248165124,0.095706092175496,0.01989764093537819,True,,,GREEN
0,T_pred_dayofweek,numerical,TIER_3,0.10876083497597254,0.13654222735956192,0.0030658648511940304,True,,,YELLOW
0,country_hist_volume,numerical,TIER_1,2.3174680822963882,0.9829582536022755,3.4410111484354335e-113,True,,,RED
0,Line Item Quantity,numerical,TIER_1,0.12811947460476747,0.2863090114635722,5.4514620140894395e-08,True,,,YELLOW
0,Country,categorical,TIER_1,3.3168207546782558,,,,0.41298014972575775,7.558164914834176e-69,RED
0,Brand,categorical,TIER_3,1.1006147328923745,,,,0.2662200384777345,3.480220655362673e-14,RED
0,Fulfill Via,categorical,TIER_3,0.059224267110743106,,,,0.10321777923296863,2.179081638222342e-09,RED
0,Molecule/Test Type,categorical,TIER_3,1.4049645208407797,,,,0.34388637426182384,1.8115923160343628e-29,RED
0,Manufacturing Site,categorical,TIER_3,2.256325848328586,,,,0.4273641118768135,7.679013125219731e-172,RED
0,First Line Designation,categorical,TIER_3,0.004790311464385217,,,,0.02938511209316157,0.08430070389006565,GREEN
0,Dosage Form,categorical,TIER_3,0.36991203655925575,,,,0.2028484769354912,8.999280289455908e-14,RED
0,Dosage,categorical,TIER_3,1.148149052114453,,,,0.3277108067366159,5.517627631241585e-21,RED
0,Shipment Mode,categorical,TIER_2,0.21322638642670566,,,,0.14278604420782615,1.665938677066547e-09,RED
0,Product Group,categorical,TIER_3,0.015600397916469732,,,,0.03621864028391401,0.5040636315218447,GREEN
0,Sub Classification,categorical,TIER_3,0.004147230191234777,,,,0.027326696585020665,0.6572249760550901,GREEN
0,Vendor INCO Term,categorical,TIER_1,0.49764701026216035,,,,0.26873993564895937,4.82005887811587e-27,RED
0,Vendor,categorical,TIER_1,2.027048681939776,,,,0.326482688422477,1.6616035032015731e-25,RED
1,Unit Price,numerical,TIER_2,0.22590500789238332,0.10122128697385797,0.0004573208792229417,True,,,YELLOW
1,vendor_hist_volume,numerical,TIER_1,3.1325446486058692,1.8663877449006143,2.511886250260222e-193,True,,,RED
1,country_hist_delay_rate,numerical,TIER_1,1.9095784065930583,0.7080269435593817,4.736623533614026e-84,True,,,RED
1,T_pred_quarter,numerical,TIER_3,3.1933148709480648,0.42379730904828083,1.7534419965276318e-34,True,,,RED
1,vendor_hist_delay_median,numerical,TIER_3,4.671473013294683,0.4432313986777264,2.9538775744149073e-85,True,,,RED
1,weight_is_numeric,numerical,TIER_3,0.0,0.013676306047507462,1.0,False,,,GREEN
1,freight_is_numeric,numerical,TIER_3,0.0,0.022505935683334928,0.9999999334602686,False,,,GREEN
1,vendor_hist_delay_rate,numerical,TIER_1,3.9102279500816044,0.48216047914928467,2.932820506218415e-44,True,,,RED
1,is_rdc_fulfillment,numerical,TIER_2,0.0,0.29220832470324526,1.723626582579589e-10,True,,,YELLOW
1,po_sent_is_date,numerical,TIER_3,0.0,0.2922083247032452,1.723626582579589e-10,True,,,YELLOW
1,Forecast_Horizon_Days,numerical,TIER_1,0.13170502870044848,0.3348557481837985,2.6424007071905766e-08,True,,,RED
1,PQ_to_PO_Days,numerical,TIER_2,0.031306096651149286,0.11533345182976998,0.013015361693174094,True,,,GREEN
1,T_pred_year,numerical,TIER_3,9.48013894700046,1.861627408229257,4.55e-322,True,,,RED
1,T_pred_month,numerical,TIER_2,5.631792266212834,0.4832295431541988,3.149824443260321e-42,True,,,RED
1,Unit of Measure (Per Pack),numerical,TIER_2,0.054594382692741535,0.07240599480512815,0.6193311094790787,False,,,GREEN
1,pq_first_sent_is_date,numerical,TIER_3,0.0,0.45871237831223327,9.437499033121399e-15,True,,,RED
1,site_hist_delay_rate,numerical,TIER_2,0.7349568276570257,0.632086660852363,2.970288529768748e-91,True,,,RED
1,country_hist_delay_median,numerical,TIER_2,0.6193176160868962,0.33641861790356614,3.6898771810861296e-49,True,,,RED
1,Line Item Value,numerical,TIER_2,0.05705308698621574,0.154044322363239,0.00015949520482756873,True,,,YELLOW
1,Pack Price,numerical,TIER_2,0.42851750003246675,0.12248299816098296,2.4190226242086514e-05,True,,,RED
1,is_pre_pq_process,numerical,TIER_3,0.0,0.4587123783122335,9.437499033121399e-15,True,,,RED
1,Line Item Insurance (USD),numerical,TIER_1,0.07715126823998532,0.07577331670555773,0.09299273084111936,False,,,GREEN
1,Scheduled_Transit_Days,numerical,TIER_1,0.13170502870044848,0.3348557481837985,2.6424007071905766e-08,True,,,RED
