fold_id,ref_start,ref_end,det_start,det_end,ref_count,det_count,feature_drift_status,feature_weighted_score,feature_max_psi,feature_max_psi_name,prediction_status,prob_psi,prob_wasserstein,prob_mean_delta,target_status,delta_prevalence,z_pvalue,uncertainty_status,empirical_coverage,coverage_error,binomial_pvalue,nonconformity_wasserstein,overall_status,trigger_recalibration
0,2006-04-19,2011-11-29,2012-03-08,2012-08-31,3747,598,RED,140.4353290517215,7.630948464521646,T_pred_month,RED,0.26992503148666763,0.05130409044664533,-0.0426217432285015,RED,-0.07622909922140612,2.875928216974817e-07,RED,0.9632107023411355,-0.06321070234113546,0.9999999983658074,4.2265933147856085,RED,True
1,2006-04-19,2012-06-04,2012-09-05,2013-03-01,4302,618,RED,135.70972375079475,9.48013894700046,T_pred_year,YELLOW,0.18372866694208412,0.03321822845299462,-0.007005334403280078,GREEN,0.029092361647100246,0.047643516907067716,YELLOW,0.927184466019416,-0.02718446601941593,0.9920374022821761,2.088872639955226,RED,True
2,2006-04-19,2012-11-28,2013-03-04,2013-08-27,4942,738,RED,111.68086229747024,8.163664337880025,T_pred_year,YELLOW,0.16510474682815685,0.027626699577667113,0.009559126875859858,RED,0.13411837477338756,9.414319076190629e-22,RED,0.9078590785907846,-0.007859078590784607,0.7783042316333091,3.7830119357446126,RED,True
3,2006-04-19,2013-05-29,2013-08-30,2014-02-19,5614,606,RED,130.1372004366142,10.229620058522563,T_pred_year,RED,0.3239279370189386,0.054277084222716765,-0.047811386289288924,YELLOW,0.060197220292032755,6.481829147771356e-05,YELLOW,0.8778877887788764,0.022112211221123612,0.04330514148812717,2.3524698390751064,RED,True
4,2006-04-19,2013-11-26,2014-02-26,2014-08-21,6312,717,RED,113.33703860215581,9.001179525634857,T_pred_year,RED,0.7054242007720201,0.08695524038972574,-0.08695520791337283,GREEN,-0.008278711997072724,0.5574993458646551,YELLOW,0.9093444909344478,-0.00934449093444778,0.814137125609616,1.5940063689538668,RED,True
